event_timestamp,epoch_timestamp,message,timestamp_description,threat_type,threat_level,,,
2020-05-12T07:26:59,1589248619,CoreMessagingRegistrar,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,VaultSvc,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,KeyIso,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,EventSystem,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,ProfSvc,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,SENS,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,TimeBrokerSvc,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,UserManager,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,dwm.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,lsass.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,fontdrvhost.ex,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,Schedule,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,EventLog,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,RpcSs,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,SystemEventsBroker,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,DcomLaunch,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,NcbService,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,SamSs,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,DispBrokerDesktopSvc,Process Created,Process,None,,,
2020-05-12T07:26:56,1589248616,csrss.exe,Process Created,Process,None,,,
2020-05-12T07:26:56,1589248616,wininit.exe,Process Created,Process,None,,,
2020-05-12T07:26:56,1589248616,services.exe,Process Created,Process,None,,,
2020-05-12T07:26:56,1589248616,winlogon.exe,Process Created,Process,None,,,
2020-05-12T07:26:56,1589248616,csrss.exe,Process Created,Process,None,,,
2020-05-12T07:26:41,1589248601,smss.exe,Process Created,Process,None,,,
2020-05-12T07:26:41,1589248601,System,Process Created,Process,None,,,
2020-05-12T07:26:28,1589248588,Registry,Process Created,Process,None,,,
