Name,Threat Type,Threat Level,User Comment,Path,Creation Time,Is Service,PID,PPID,Malware Scan
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:01 AM IST,false,2632,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:48:29 AM IST,false,5916,676 (services.exe),(UNKNOWN) Malware scanning disabled.
lsass.exe,Process,None,,Windows/System32/lsass.exe,5/12/20 7:26:59 AM IST,false,688,532 (wininit.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:00 AM IST,false,1820,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:00 AM IST,false,2116,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:56 AM IST,false,1704,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:38:02 AM IST,false,4540,676 (services.exe),(UNKNOWN) Malware scanning disabled.
taskhostw.exe,Process,None,,Windows/System32/taskhostw.exe,5/12/20 7:27:55 AM IST,false,4936,1060 (svchost.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:26:59 AM IST,false,1428,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:01 AM IST,false,3068,676 (services.exe),(UNKNOWN) Malware scanning disabled.
services.exe,Process,None,,Windows/System32/services.exe,5/12/20 7:26:56 AM IST,false,676,532 (wininit.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:26:59 AM IST,false,1436,676 (services.exe),(UNKNOWN) Malware scanning disabled.
RuntimeBroker.,Process,None,,Windows/System32/RuntimeBroker.exe,5/12/20 7:28:13 AM IST,false,6704,884 (svchost.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:01 AM IST,false,2744,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:01 AM IST,false,2864,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:01 AM IST,false,2872,676 (services.exe),(UNKNOWN) Malware scanning disabled.
RuntimeBroker.,Process,None,,Windows/System32/RuntimeBroker.exe,5/12/20 7:28:04 AM IST,false,5588,884 (svchost.exe),(UNKNOWN) Malware scanning disabled.
